TimeStamp, GSRValue
08:42:562,90
08:42:583,90
08:42:603,90
08:42:624,90
08:42:645,91
08:42:665,90
08:42:685,91
08:42:706,91
08:42:722,91
08:42:742,91
08:42:763,91
08:42:784,91
08:42:804,91
08:42:824,91
08:42:845,92
08:42:865,92
08:42:886,92
08:42:907,92
08:42:927,93
08:42:948,92
08:42:968,93
08:42:988,92
08:43:009,92
08:43:029,92
08:43:050,92
08:43:070,92
08:43:091,93
08:43:111,92
08:43:132,93
08:43:152,93
08:43:172,93
08:43:193,93
08:43:213,93
08:43:233,93
08:43:255,93
08:43:274,92
08:43:295,93
08:43:316,92
08:43:336,92
08:43:357,92
08:43:377,93
08:43:398,93
08:43:418,92
08:43:435,93
08:43:455,92
08:43:475,92
08:43:496,92
08:43:517,92
08:43:537,92
08:43:558,92
08:43:578,93
08:43:599,92
08:43:619,92
08:43:640,92
08:43:660,91
08:43:681,92
08:43:701,91
08:43:721,91
08:43:742,91
08:43:762,90
08:43:783,90
08:43:804,91
08:43:824,90
08:43:844,90
08:43:865,90
08:43:886,90
08:43:906,90
08:43:926,89
08:43:947,89
08:43:967,89
08:43:987,90
08:44:008,89
08:44:029,88
08:44:049,89
08:44:070,89
08:44:090,89
08:44:110,89
08:44:131,88
08:44:152,89
08:44:172,89
08:44:193,89
08:44:209,89
08:44:229,89
08:44:250,89
08:44:270,90
08:44:291,89
08:44:311,89
08:44:332,89
08:44:352,89
08:44:373,88
08:44:394,89
08:44:413,89
08:44:434,88
08:44:455,89
08:44:475,89
08:44:495,89
08:44:516,89
08:44:536,88
08:44:557,89
08:44:577,88
08:44:598,89
08:44:618,89
08:44:639,89
08:44:660,89
08:44:680,89
08:44:700,89
08:44:720,89
08:44:742,88
08:44:762,89
08:44:783,89
08:44:802,89
08:44:823,90
08:44:843,89
08:44:864,89
08:44:884,90
08:44:905,89
08:44:926,91
08:44:946,90
08:44:963,90
08:44:983,90
08:45:004,90
08:45:024,90
08:45:044,89
08:45:064,90
08:45:085,90
08:45:106,91
08:45:127,90
08:45:147,90
08:45:167,90
08:45:188,90
08:45:208,91
08:45:228,90
08:45:250,90
08:45:270,90
08:45:290,90
08:45:310,91
08:45:331,91
08:45:352,91
08:45:372,91
08:45:393,91
08:45:413,91
08:45:433,91
08:45:454,91
08:45:474,91
08:45:495,91
08:45:515,92
08:45:536,91
08:45:556,92
08:45:577,92
08:45:597,92
08:45:618,93
08:45:638,93
08:45:658,93
08:45:679,93
08:45:700,92
08:45:720,93
08:45:737,92
08:45:757,92
08:45:777,92
08:45:798,93
08:45:818,93
08:45:839,92
08:45:860,93
08:45:879,93
08:45:901,93
08:45:920,93
08:45:942,93
08:45:962,93
08:45:982,92
08:46:002,93
08:46:024,93
08:46:044,93
08:46:064,93
08:46:085,94
08:46:105,93
08:46:125,93
08:46:146,93
08:46:166,94
08:46:187,94
08:46:207,94
08:46:228,94
08:46:248,94
08:46:269,94
08:46:290,94
08:46:310,94
08:46:331,95
08:46:350,95
08:46:372,95
08:46:392,95
08:46:412,95
08:46:433,95
08:46:454,96
08:46:474,96
08:46:490,95
08:46:510,95
08:46:531,95
08:46:552,95
08:46:572,95
08:46:593,95
08:46:613,96
08:46:634,96
08:46:654,96
08:46:675,96
08:46:695,96
08:46:716,95
08:46:735,96
08:46:756,96
08:46:777,96
08:46:797,96
08:46:818,96
08:46:838,96
08:46:859,95
08:46:879,95
08:46:900,96
08:46:920,96
08:46:941,96
08:46:961,96
08:46:982,96
08:47:002,96
08:47:023,96
08:47:042,96
08:47:063,96
08:47:084,96
08:47:104,97
08:47:125,97
08:47:145,97
08:47:166,97
08:47:187,97
08:47:207,97
08:47:227,97
08:47:244,97
08:47:264,96
08:47:285,97
08:47:306,97
08:47:325,96
08:47:346,96
08:47:367,97
08:47:387,97
08:47:407,98
08:47:428,97
08:47:449,97
08:47:469,97
08:47:490,97
08:47:510,97
08:47:531,97
08:47:551,97
08:47:572,97
08:47:592,97
08:47:612,98
08:47:633,97
08:47:653,97
08:47:674,96
08:47:695,97
08:47:715,97
08:47:735,97
08:47:756,97
08:47:776,98
08:47:797,98
08:47:818,97
08:47:838,98
08:47:859,98
08:47:878,98
08:47:899,99
08:47:919,98
08:47:940,98
08:47:961,98
08:47:981,98
08:47:998,98
08:48:018,97
08:48:039,97
08:48:059,97
08:48:080,97
08:48:100,97
