TimeStamp, GSRValue
37:30:198,145
37:30:218,145
37:30:239,145
37:30:259,145
37:30:280,145
37:30:300,145
37:30:321,145
37:30:341,145
37:30:361,145
37:30:383,146
37:30:403,145
37:30:423,145
37:30:443,146
37:30:464,145
37:30:485,145
37:30:505,145
37:30:525,145
37:30:546,145
37:30:567,146
37:30:587,145
37:30:608,145
37:30:628,146
37:30:648,145
37:30:669,145
37:30:690,145
37:30:709,145
37:30:730,145
37:30:751,145
37:30:771,145
37:30:792,146
37:30:812,145
37:30:833,146
37:30:853,146
37:30:873,146
37:30:894,147
37:30:915,146
37:30:935,147
37:30:956,146
37:30:976,146
37:30:996,147
37:31:017,145
37:31:038,145
37:31:058,145
37:31:078,145
37:31:099,146
37:31:119,146
37:31:140,146
37:31:160,146
37:31:181,538
37:31:202,146
37:31:222,146
37:31:242,147
37:31:263,146
37:31:283,146
37:31:304,146
37:31:324,146
37:31:345,146
37:31:365,146
37:31:386,146
37:31:406,146
37:31:422,146
37:31:444,146
37:31:464,146
37:31:484,146
37:31:504,146
37:31:525,146
37:31:546,146
37:31:566,147
37:31:587,146
37:31:607,147
37:31:627,147
37:31:648,147
37:31:668,147
37:31:689,146
37:31:710,147
37:31:730,146
37:31:750,146
37:31:770,146
37:31:791,146
37:31:812,146
37:31:833,146
37:31:853,146
37:31:873,146
37:31:894,146
37:31:914,146
37:31:935,146
37:31:955,146
37:31:975,146
37:31:996,146
37:32:017,146
37:32:037,146
37:32:057,146
37:32:078,147
37:32:098,145
37:32:119,146
37:32:140,147
37:32:160,146
37:32:180,146
37:32:201,146
37:32:221,145
37:32:242,146
37:32:262,146
37:32:283,146
37:32:303,146
37:32:324,146
37:32:344,146
37:32:364,146
37:32:386,146
37:32:405,146
37:32:426,146
37:32:446,146
37:32:467,146
37:32:488,145
37:32:508,146
37:32:528,146
37:32:549,147
37:32:570,146
37:32:590,146
37:32:610,146
37:32:631,146
37:32:651,146
37:32:672,146
37:32:692,146
37:32:712,147
37:32:733,147
37:32:754,147
37:32:775,147
37:32:794,146
37:32:815,145
37:32:836,145
37:32:856,146
37:32:873,146
37:32:893,146
37:32:913,146
37:32:934,145
37:32:955,146
37:32:975,146
37:32:995,146
37:33:016,146
37:33:037,146
37:33:057,146
37:33:078,147
37:33:098,146
37:33:118,146
37:33:139,147
37:33:159,147
37:33:180,147
37:33:200,147
37:33:220,147
37:33:242,146
37:33:262,147
37:33:282,146
37:33:302,146
37:33:323,147
37:33:344,147
37:33:364,146
37:33:384,146
37:33:405,146
37:33:425,147
37:33:446,147
37:33:467,147
37:33:487,147
37:33:507,147
37:33:528,147
37:33:549,146
37:33:569,146
37:33:590,145
37:33:610,144
37:33:631,144
37:33:650,144
37:33:671,144
37:33:692,144
37:33:712,144
37:33:732,144
37:33:754,145
37:33:773,145
37:33:794,146
37:33:815,146
37:33:835,147
37:33:855,146
37:33:876,147
37:33:896,147
37:33:917,147
37:33:938,148
37:33:958,147
37:33:978,147
37:33:999,147
37:34:020,148
37:34:040,148
37:34:060,147
37:34:081,147
37:34:101,147
37:34:121,147
37:34:142,147
37:34:163,147
37:34:183,148
37:34:204,147
37:34:224,147
37:34:241,147
37:34:265,147
37:34:281,147
37:34:302,147
37:34:322,147
37:34:343,147
37:34:363,147
37:34:383,147
37:34:404,147
37:34:425,147
37:34:446,148
37:34:466,147
37:34:486,147
37:34:507,148
37:34:527,148
37:34:548,147
37:34:568,148
37:34:588,148
37:34:609,148
37:34:630,148
37:34:650,148
37:34:670,148
37:34:691,148
37:34:711,147
37:34:732,148
37:34:752,147
37:34:773,146
37:34:793,146
37:34:814,146
37:34:835,146
37:34:855,146
37:34:875,147
37:34:896,147
37:34:917,147
37:34:937,148
37:34:957,148
37:34:978,148
37:34:998,149
37:35:019,148
37:35:039,149
37:35:059,149
37:35:080,149
37:35:101,149
37:35:121,149
37:35:142,149
37:35:162,149
37:35:182,149
37:35:203,149
37:35:223,149
37:35:244,149
37:35:264,149
37:35:285,149
37:35:305,150
37:35:326,149
37:35:346,150
37:35:367,149
37:35:387,150
37:35:408,149
37:35:428,150
37:35:449,149
37:35:470,150
37:35:490,149
37:35:510,149
37:35:531,149
37:35:551,150
37:35:572,149
37:35:592,149
37:35:612,149
37:35:633,150
37:35:650,149
37:35:670,149
37:35:690,149
37:35:711,150
37:35:731,149
37:35:752,149
37:35:772,148
37:35:793,149
37:35:813,149
37:35:834,148
37:35:854,149
37:35:875,148
37:35:895,148
37:35:916,148
37:35:936,149
37:35:956,148
37:35:977,149
37:35:998,148
37:36:018,148
37:36:039,148
37:36:059,149
37:36:079,148
37:36:101,148
37:36:121,148
37:36:141,148
37:36:162,148
37:36:182,148
37:36:202,148
37:36:223,148
37:36:244,148
37:36:263,148
37:36:285,148
37:36:305,148
37:36:325,148
37:36:346,148
37:36:366,148
37:36:386,148
37:36:408,148
37:36:427,148
37:36:448,148
37:36:469,148
37:36:489,148
37:36:509,148
37:36:530,147
37:36:550,148
37:36:571,147
37:36:591,147
37:36:612,147
37:36:632,147
37:36:652,148
37:36:674,148
37:36:694,147
37:36:714,147
37:36:735,148
37:36:756,147
37:36:776,148
37:36:796,148
37:36:817,147
37:36:838,147
37:36:858,147
37:36:878,148
37:36:898,147
37:36:919,147
37:36:940,147
37:36:956,147
37:36:976,147
37:36:997,147
37:37:017,147
37:37:038,147
37:37:058,148
37:37:079,147
37:37:100,147
37:37:120,147
37:37:140,147
37:37:161,148
37:37:181,147
37:37:202,147
37:37:222,147
37:37:243,146
37:37:263,147
37:37:284,146
37:37:304,147
37:37:325,147
37:37:346,146
37:37:366,147
37:37:386,146
37:37:407,147
37:37:427,147
37:37:447,147
37:37:468,147
37:37:489,147
37:37:509,147
37:37:530,147
37:37:550,147
37:37:570,147
37:37:591,147
37:37:612,147
37:37:632,147
37:37:653,147
37:37:673,148
37:37:694,147
37:37:714,147
37:37:734,147
37:37:755,147
37:37:776,147
37:37:796,147
37:37:816,147
37:37:837,147
37:37:857,147
37:37:877,147
37:37:898,147
37:37:919,147
37:37:939,148
37:37:960,147
37:37:980,147
37:38:000,147
37:38:021,147
37:38:041,147
37:38:062,147
37:38:082,147
37:38:103,147
37:38:123,147
37:38:144,147
37:38:164,147
37:38:185,147
37:38:205,147
37:38:222,147
37:38:247,147
37:38:263,147
37:38:283,147
37:38:304,148
37:38:324,147
37:38:345,148
37:38:365,147
37:38:386,148
37:38:406,147
37:38:426,147
37:38:447,147
37:38:467,148
37:38:488,148
37:38:508,148
37:38:529,148
37:38:549,148
37:38:569,148
37:38:591,148
37:38:611,148
37:38:631,148
37:38:651,147
37:38:672,148
37:38:693,147
37:38:713,148
37:38:733,148
37:38:754,148
37:38:775,148
37:38:795,148
37:38:816,148
37:38:836,148
37:38:856,148
37:38:877,148
37:38:897,148
37:38:918,148
37:38:939,148
37:38:959,148
37:38:980,148
37:39:000,148
37:39:020,148
37:39:040,148
37:39:061,148
37:39:082,148
37:39:103,148
37:39:123,148
37:39:143,148
37:39:163,148
37:39:185,148
37:39:205,148
37:39:225,148
37:39:245,148
37:39:266,148
37:39:286,149
37:39:307,148
37:39:327,149
37:39:348,149
37:39:368,149
37:39:389,149
37:39:409,149
37:39:430,148
37:39:451,149
37:39:471,149
37:39:491,148
37:39:511,149
37:39:532,148
37:39:553,148
37:39:569,149
37:39:590,149
37:39:610,148
37:39:631,149
37:39:652,148
37:39:671,149
37:39:692,148
37:39:712,149
37:39:732,149
37:39:754,148
37:39:774,149
37:39:795,148
37:39:815,148
37:39:835,149
37:39:856,148
37:39:876,149
37:39:897,148
37:39:918,149
37:39:938,149
37:39:958,148
37:39:979,149
37:39:999,149
37:40:020,149
37:40:040,149
37:40:061,149
37:40:081,149
37:40:101,149
37:40:122,149
37:40:142,148
37:40:163,149
37:40:184,149
37:40:204,149
37:40:225,149
37:40:245,149
37:40:266,149
37:40:286,149
37:40:306,149
37:40:327,149
37:40:348,149
37:40:368,149
37:40:388,149
37:40:409,149
37:40:430,149
37:40:450,149
37:40:470,149
37:40:491,149
37:40:511,149
37:40:531,149
37:40:552,149
37:40:572,149
37:40:593,149
37:40:613,149
37:40:634,149
37:40:654,149
37:40:675,149
37:40:696,149
37:40:716,149
37:40:736,149
37:40:757,149
37:40:777,149
37:40:798,150
37:40:818,149
37:40:838,149
37:40:860,150
37:40:880,150
37:40:900,149
37:40:920,149
37:40:941,149
37:40:961,149
37:40:982,149
37:41:002,149
37:41:020,149
37:41:039,149
37:41:060,149
37:41:080,149
37:41:101,149
37:41:122,149
37:41:142,150
37:41:163,149
37:41:183,149
37:41:204,149
37:41:224,149
37:41:244,149
37:41:265,149
37:41:285,149
37:41:306,149
37:41:327,150
37:41:347,150
37:41:367,149
37:41:388,150
37:41:408,149
37:41:428,247
37:41:450,149
37:41:470,149
37:41:490,149
37:41:510,150
37:41:531,150
37:41:551,149
37:41:572,150
37:41:592,150
37:41:613,150
37:41:633,150
37:41:654,151
37:41:675,150
37:41:695,150
37:41:715,150
37:41:736,150
37:41:756,149
37:41:777,149
37:41:798,149
37:41:818,150
37:41:839,149
37:41:859,150
37:41:880,149
37:41:900,149
37:41:920,150
37:41:940,149
37:41:961,150
37:41:981,149
37:42:002,149
37:42:022,149
37:42:043,149
37:42:064,149
37:42:084,149
37:42:104,149
37:42:125,149
37:42:145,150
37:42:165,149
37:42:186,149
37:42:206,150
37:42:228,149
37:42:248,150
37:42:268,149
37:42:288,149
37:42:309,150
37:42:330,150
37:42:351,150
37:42:370,149
37:42:388,150
37:42:408,150
37:42:428,150
37:42:449,151
37:42:469,150
37:42:489,150
37:42:510,150
37:42:531,150
